uai;nom_de_l_etablissement;nb_candidats_g;taux_de_reussite_g;taux_d_acces_6eme_3eme;nb_mentions_g;ips;ecart_type_de_l_ips
9711023K;COLLEGE SOUALIGA;116;74.0;83.0;57;91.6;30.0
9711231L;COLLEGE SYLVIANE TELCHID;94;83.0;85.0;52;88.1;31.6
9720012F;COLLEGE EUZHAN PALCY;73;88.0;90.0;43;97.9;28.8
9720021R;COLLEGE BELLE ETOILE;138;89.0;90.0;73;101.4;28.5
9720028Y;COLLEGE EUGENE MONA;34;97.0;93.0;20;90.0;30.6
9720043P;COLLEGE CONSTANT LE RAY;79;100.0;95.0;66;109.8;34.6
9720052Z;COLLEGE JULIA NICOLAS;49;78.0;83.0;20;77.5;23.7
9720064M;COLLEGE PRIVE SEMINAIRE-COLLEGE STE MARIE;194;100.0;84.0;183;130.4;24.5
9720083H;COLLEGE PETIT MANOIR;99;93.0;84.0;48;101.0;25.8
9720447D;COLLEGE GERARD CAFE;73;92.0;94.0;42;95.6;28.5
9720448E;COLLEGE GEORGES ELISABETH;72;92.0;84.0;44;91.5;29.0
9720449F;COLLEGE DE SAINTE LUCE;75;89.0;82.0;47;101.0;31.6
9720708M;COLLEGE JENNY ALPHA;82;72.0;89.0;30;77.2;23.0
9720897T;COLLEGE PRIVE AMEP;77;97.0;79.0;63;124.6;26.7
9730179G;COLLEGE AUGUSTE DEDE;197;96.0;88.0;141;113.8;35.0
9730193X;COLLEGE GRAN MAN DIFOU;80;91.0;91.0;38;72.0;20.4
9730218Z;COLLEGE LISE OPHION;149;79.0;75.0;49;73.4;22.5
9730248G;COLLEGE ALBERT LONDRES;191;71.0;91.0;46;69.5;21.8
9730483M;COLLEGE JOSEPH HO TEN YOU;85;91.0;89.0;41;84.3;30.8
9740011U;COLLEGE HEGESIPPE HOARAU;214;77.0;94.0;123;87.9;30.4
9740027L;COLLEGE RAVINE DES CABRIS;154;83.0;90.0;102;79.4;33.2
9740042C;COLLEGE DE LA MONTAGNE;155;94.0;91.0;123;103.8;37.0
9740083X;COLLEGE AMIRAL PIERRE BOUVET;108;90.0;96.0;77;71.5;22.9
9740096L;COLLEGE ALSACE CORRE;49;80.0;95.0;29;76.5;23.3
