nb_candidats_g,taux_de_reussite_g,taux_d_acces_6eme_3eme,nb_mentions_g,ips,ecart_type_de_l_ips
132,86.0,94.0,95,103.1,32.2
78,79.0,89.0,48,89.9,31.8
82,87.0,86.0,51,80.8,28.0
148,88.0,85.0,106,104.7,35.3
109,96.0,71.0,93,110.7,27.5
85,94.0,76.0,56,115.9,28.7
71,99.0,87.0,58,107.7,26.6
137,88.0,90.0,90,94.7,35.3
78,95.0,94.0,61,117.4,35.0
104,99.0,96.0,99,116.6,26.7
70,63.0,88.0,32,101.7,29.0
146,100.0,88.0,140,129.0,26.1
107,79.0,93.0,59,67.9,20.3
117,81.0,88.0,58,69.1,19.4
149,93.0,92.0,114,112.2,32.8
163,90.0,92.0,104,105.6,30.9
114,82.0,92.0,70,99.6,26.5
127,89.0,97.0,84,95.8,32.0
88,82.0,88.0,49,82.6,30.6
74,78.0,88.0,36,82.9,28.5
189,88.0,89.0,120,91.4,30.7
103,84.0,95.0,51,93.5,31.4
78,78.0,88.0,42,85.4,28.3
180,100.0,85.0,170,125.3,26.3
84,100.0,83.0,78,114.4,25.4
87,98.0,79.0,79,117.4,27.6
193,96.0,95.0,147,113.8,30.8
144,96.0,94.0,109,111.7,34.5
189,87.0,94.0,113,100.4,31.7
152,95.0,96.0,121,118.5,32.1
115,91.0,93.0,87,114.8,33.2
82,98.0,96.0,69,73.9,19.6
115,85.0,92.0,77,98.2,33.7
99,71.0,89.0,50,82.3,25.7
189,99.0,87.0,171,123.2,35.3
142,100.0,88.0,137,119.3,30.5
131,82.0,89.0,83,94.6,31.4
180,95.0,94.0,135,98.6,30.7
107,100.0,82.0,103,114.9,28.6
103,89.0,96.0,81,116.2,37.2
253,98.0,96.0,227,102.8,27.8
164,100.0,94.0,155,126.1,29.7
93,81.0,90.0,55,86.8,26.4
107,92.0,89.0,86,113.3,34.7
175,90.0,94.0,135,103.2,39.4
65,88.0,94.0,45,95.2,25.0
47,79.0,88.0,34,95.9,25.7
64,81.0,95.0,34,91.9,30.4
154,97.0,91.0,132,122.7,35.2
135,87.0,87.0,92,110.7,32.3
36,83.0,96.0,22,93.4,28.8
36,89.0,97.0,25,96.3,26.5
96,95.0,90.0,82,102.2,30.5
83,75.0,85.0,38,85.5,29.1
155,86.0,95.0,103,103.7,33.0
34,97.0,98.0,27,100.7,30.0
112,88.0,95.0,76,89.5,29.2
103,94.0,94.0,78,98.6,34.8
62,95.0,77.0,49,110.5,30.2
68,88.0,93.0,52,104.0,31.1
217,99.0,86.0,196,129.4,29.5
103,83.0,90.0,68,118.8,38.1
140,88.0,93.0,90,110.0,34.1
155,95.0,96.0,119,121.9,31.9
112,88.0,94.0,77,101.4,31.4
120,94.0,93.0,80,116.9,30.6
116,86.0,93.0,62,92.0,28.1
133,92.0,89.0,91,129.3,33.9
172,92.0,94.0,136,129.4,35.9
145,88.0,91.0,111,119.8,37.3
169,95.0,93.0,138,123.3,41.3
133,93.0,94.0,106,105.4,34.2
96,92.0,89.0,60,86.6,27.0
125,93.0,89.0,97,118.0,40.3
105,95.0,95.0,89,138.7,35.9
97,93.0,86.0,60,88.3,26.5
159,95.0,97.0,126,144.7,32.7
152,94.0,96.0,113,128.5,34.9
199,100.0,98.0,199,146.1,15.6
188,100.0,97.0,187,148.1,14.6
112,91.0,87.0,82,119.3,36.2
121,82.0,81.0,76,95.5,32.3
150,87.0,92.0,84,73.4,21.2
151,87.0,92.0,96,94.7,29.4
192,96.0,92.0,151,129.2,35.3
132,78.0,89.0,72,75.2,22.7
147,90.0,96.0,102,91.3,26.3
147,83.0,86.0,85,72.9,21.0
95,100.0,97.0,89,116.9,27.9
50,90.0,77.0,33,115.5,29.7
144,90.0,92.0,97,91.2,30.2
150,87.0,91.0,80,84.6,17.5
109,90.0,85.0,71,95.6,34.6
